Dataset	Domain	Score	Sent1	Sent2
STS2012-train	MSRpar	3.800	He refused to reveal what percentage of flights carried sky marshals, or whether they would be increased.	He refused to say what percentage of domestic flights had security officers on board.
STS2012-train	MSRpar	4.800	Revenues for "The Hulk" came in well below those of last month's Marvel Comics adaptation, "X2: X-Men United," which grossed $85.6 million in its opening weekend.	The Hulk trailed last month's Marvel Comics adaptation, X2: X-Men United, which grossed $85.6-million in its opening weekend.
STS2012-train	MSRpar	2.000	Shares of Littleton, Colorado-based EchoStar rose $1.63, or 5.3 percent, to $32.26 at 10:55 a.m.	On Monday, EchoStar (DISH: news, chart, profile) shares shrank $1.40, or 4.4 percent, to $30.63.
STS2012-train	MSRpar	3.200	The valid signatures of 897,158 registered California voters must be collected and turned in to county election officials by Sept. 2.	To force a recall election of Davis, the valid signatures of 897,158 registered California voters must be turned in to election officials.
STS2012-train	MSRpar	2.200	The benchmark 10-year note US10YT=RR lost 11/32 in price, taking its yield to 3.21 percent from 3.17 percent late on Monday.	Further out the curve, the benchmark 10-year note US10YT=RR shed 18/32 in price, taking its yield to 3.24 percent from 3.17 percent.
STS2012-train	MSRpar	4.000	The MDC called the strike to force Mr Mugabe to either resign or negotiate a settlement of the Zimbabwe crisis.	The MDC called the week-long protest to urge Mugabe either to resign or to negotiate a settlement of the crisis gripping the country.
STS2012-train	MSRpar	4.200	The 6th U.S. Circuit Court of Appeals on Wednesday ruled that an Ohio law banning a controversial late-term abortion method passes constitutional muster and the state can enforce it.	An Ohio law that bans a controversial late-term abortion procedure is constitutionally acceptable and the state can enforce it, a federal appeals court ruled yesterday.
STS2012-train	MSRpar	2.000	The Nasdaq composite index advanced 20.59, or 1.3 percent, to 1,616.50, after gaining 5.7 percent last week.	The technology-laced Nasdaq Composite Index <.IXIC> climbed 19.11 points, or 1.2 percent, to 1,615.02.
STS2012-train	MSRpar	1.200	Revenue rose 3.9 percent, to $1.63 billion from $1.57 billion.	The McLean, Virginia-based company said newspaper revenue increased 5 percent to $1.46 billion.
STS2012-train	MSRpar	4.000	In January 2000, notebooks represented less than 25 percent of sales volume.	That compares with January 2000, when laptops represented less than 25 percent of sales volume, NPD said.
STS2012-train	MSRpar	3.000	Argentine Guillermo Coria and Netherlander Martin Verkerk are in the other half.	The other semifinal between Guillermo Coria of Argentina and Martin Verkerk of the Netherlands is also compelling.
STS2012-train	MSRpar	0.800	The Nasdaq Composite Index rose 19.67, or 1.3 percent, to 1523.71, its highest since June 18.	The S&P 500 had climbed 16 percent since its March low and yesterday closed at its highest since Dec. 2.
STS2012-train	MSRpar	2.800	"What can I say to you?" he told a crowd at a cemetery with a thousand headstones, many of them marking the graves of entire families.	Mr. Powell told a crowd at a cemetery with a thousand headstones, many of them marking the graves of entire families.
STS2012-train	MSRpar	3.000	They said they had concluded that the film failed "to present a balanced portrayal" of the Reagans.	CBS said the show "does not present a balanced portrayal of the Reagans for CBS and its audience.
STS2012-train	MSRpar	3.800	"We're going to do everything in our power to get money back to ratepayers as quickly as possible," Kennedy said.	"There's very strong interest in getting money back to the ratepayers as quickly as possible," Commissioner Susan Kennedy said.
STS2012-train	MSRpar	4.400	She had only a single condition, that the book not be published until her death.	She insisted, though, that it not be published until after her death.
STS2012-train	MSRpar	2.600	The findings are published in the November 6 edition of the journal Nature.	Both studies are published on Thursday in Nature, the British weekly science journal.
STS2012-train	MSRpar	1.400	Median household income declined 1.1 percent between 2001 and 2002 to $42,409, after accounting for inflation.	The same survey found the median household income rose by $51, when accounting for inflation, to $43,057.
STS2012-train	MSRpar	3.200	U.S. and European leaders pledged on Wednesday to work together to keep Iran from developing nuclear weapons, presenting a united front after months of bitter acrimony over Iraq.	Bush said U.S. and European Union leaders, at an annual Washington summit, agreed on the need to keep Iran from developing nuclear weapons.
STS2012-train	MSRpar	1.600	The company said it would cut the wholesale price of most top-line CDs to $9.09 from $12.02.	The company also said it would cut wholesale prices on cassettes and change the suggested retail price to $8.98.
STS2012-train	MSRpar	3.000	He left the army for Syria where he received religious training.	He moved to Syria, where he underwent further religious training in traditional Islamic beliefs.
STS2012-train	MSRpar	3.273	The meeting was scheduled to end Wednesday night, with attendees approving resolutions that express the denomination's view on issues but that are not binding on churches.	On Wednesday, attendees will vote on resolutions that express the Southern Baptist view on issues, but are not binding on individual churches.
STS2012-train	MSRpar	4.000	But the inadequate performance of students in various subgroups tagged the state as deficient under the federal No Child Left Behind act.	But the inadequate performance of students in various subgroups, such as race, pushed the state onto the needs-improvement list under the federal No Child Left Behind Act.
STS2012-train	MSRpar	3.250	This led to the recovery of the 270-kilogram Cancuen altar, announced on Wednesday by the Vanderbilt University in Nashville and the National Geographic Society.	This led last month to the recovery of the 600-pound Cancun altar, Vanderbilt University in Nashville and the National Geographic Society announced Wednesday.
STS2012-train	MSRpar	3.250	Shares of Allergan fell 14 cents to close at $78.12 on the New York Stock Exchange (news - web sites).	Shares of Allergan were up 14 cents at $78.40 in late trading on the New York Stock Exchange.
STS2012-train	MSRpar	5.000	The upcoming second-quarter earnings season will be particularly important in offering investors guidance, they say.	They say second-quarter earnings reports will be key in giving investors that guidance.
STS2012-train	MSRpar	3.500	In a not-too-subtle swipe at Dean, he predicted Americans would not elect a Democrat "who sounds an uncertain trumpet in these dangerous times."	They will not elect as president a Democrat who sounds an uncertain trumpet in these dangerous times."
STS2012-train	MSRpar	3.417	That took the benchmark 10-year note US10YT=RR down 9/32, its yield rising to 3.37 percent from 3.34 percent late on Thursday.	That saw the benchmark 10-year note US10YT=RR slip 5/32 in price, taking its yield to 3.36 percent from 3.34 percent late on Thursday.
STS2012-train	MSRpar	1.750	The report forecasts there will be 71,079 hot spots worldwide this year, up from just 14,752 in 2002 and 1,214 in 2001.	The report also claims that there will be up to 9.3 million visitors to hot spots this year, up again from the meagre 2.5 million in 2002.
STS2012-train	MSRpar	2.700	A new study, conducted in Europe, found the medicine worked just as well as an earlier disputed study, sponsored by ImClone Systems, said it did.	Doctors concluded Erbitux, the cancer drug that enmeshed ImClone Systems in an insider trading scandal, worked just as well as an earlier company-sponsored study said it did.
STS2012-train	MSRpar	2.750	The bank's shares fell 45 cents in trading yesterday to $91.51 per share.	Shares of M&T, which is based in Buffalo, fell 41 cents, to $91.51.
STS2012-train	MSRpar	3.750	Her lawyer Donald Levine told The Telegraph she had been offered $US250,000 to tell her story exclusively to Australian TV.	Mr Levine said she had been offered $400,000 to tell her story to an Australian TV network.
STS2012-train	MSRpar	3.750	Perry has called lawmakers into two special sessions to address congressional redistricting.	Perry has since called two special legislative sessions to try force the redistricting plan through.
STS2012-train	MSRpar	4.111	In the latest violence, insurgents threw a bomb at a U.S. convoy in northern Baghdad, killing one soldier.	Early Monday, insurgents threw a homemade bomb at a U.S. convoy in northern Baghdad, killing an American soldier.
STS2012-train	MSRpar	3.600	Consumer groups are against the changes, saying they hurt individuality in markets.	Consumer groups oppose the changes, saying they would concentrate too many outlets in too few media empires.
STS2012-train	MSRpar	4.000	AirTran officials and a Boeing official declined to comment yesterday.	Trish York, a spokeswoman for Boeing, declined to comment on the deal.
STS2012-train	MSRpar	4.200	The lawsuit names Shelley, a Democrat, and registrars in Los Angeles, Orange and San Diego counties.	The lawsuit named Secretary of State Kevin Shelley, a Democrat, and the registrars of voters in Los Angeles, Orange and San Diego counties.
STS2012-train	MSRpar	3.750	Negotiators said Friday they made good progress during their latest round of talks on creating a Central American Free Trade Agreement.	Negotiators said Friday they made progress during their latest round of free-trade negotiations between the United States and five Central American countries this week in Houston.
STS2012-train	MSRpar	3.800	"It's very difficult to do large syndicated loans in Japan," where there is a lack of expertise, says one banker.	"It is very difficult to do large syndicated loans in Japan," says one banker.
STS2012-train	MSRpar	4.400	The case comes out of Illinois and involves a for-profit company called Telemarketing Associates Inc.	The case decided Monday centered around an Illinois fund-raiser, Telemarketing Associates.
STS2012-train	MSRpar	3.600	Every Thursday, a grains management committee meets in the Commission's agriculture directorate to decide the outcome of a weekly export tender.	A grains management committee normally meets each Thursday in the Commission's agriculture unit -- another target of Wednesday's raids -- to decide the outcome of a weekly export tender.
STS2012-train	MSRpar	4.600	He urged Congress to "send me the final bill as soon as possible so that I can sign it into law."	"I urge Congress to quickly resolve any differences and send me the final bill as soon as possible so that I can sign it into law," he said.
STS2012-train	MSRpar	1.667	Mr. Pingeon is director of litigation for Massachusetts Correctional Legal Services, a prisoners' rights group.	Pingeon said an attorney for his organization, Massachusetts Correctional Legal Services, interviewed Assan Tuesday.
STS2012-train	MSRpar	4.000	Yee is a 1990 graduate of the U.S. Military Academy at West Point, New York.	Yee grew up in the United States and graduated from the U.S. Military Academy at West Point.
STS2012-train	MSRpar	4.333	"PNC regrets its involvement" in the deals, Chairman and Chief Executive Officer James Rohr said in a statement.	James Rohr, chairman and chief executive officer, said PNC regretted the incident.
STS2012-train	MSRpar	3.000	CCAG supported Bill Curry, Rowland's opponent in the 2002 gubernatorial election.	Mr. Swan's group supported the governor's Democratic opponent, Bill Curry, in the 2002 election.
STS2012-train	MSRpar	3.500	They later fell out and have backed a series of rival Congolese militias in recent years.	The two invading countries later fell out, and have since backed rival factions.
STS2012-train	MSRpar	3.500	State health officials said today a young northeast Kansas woman likely has the state's first case of monkeypox among humans or animals.	Health officials confirmed today that a northeast Kansas woman has the state's first case of monkeypox and the first case west of the Mississippi River.
STS2012-train	MSRpar	2.000	Another said its members would continue to call the more than 50 million phone numbers on the Federal Trade Commission's list.	Meantime, the Direct Marketing Association said its members should not call the nearly 51 million numbers on the list.
STS2012-train	MSRpar	3.750	Veteran entertainer Bob Hope celebrates his 100th birthday - and many years in showbusiness - on Thursday.	Hollywood and the world are gearing up to celebrate legendary entertainer Bob Hope's 100th birthday on Thursday.
STS2012-train	MSRpar	2.000	Navistar shares were down 44 cents, or 1.1 percent, at $41.19 on the New York Stock Exchange after falling as low as $39.93.	Navistar shares rose a penny to $41.64 at late afternoon on the New York Stock Exchange after earlier falling as low as $39.93.
STS2012-train	MSRpar	4.333	Colin Powell, the Secretary of State, said contacts with Iran would not stop.	Secretary of State Colin Powell said yesterday that contacts with Iran would continue.
STS2012-train	MSRpar	1.800	Declining issues outnumbered advancers nearly 2 to 1 on the New York Stock Exchange.	Advancers outnumbered decliners by nearly 8 to 3 on the NYSE and more than 11 to 5 on Nasdaq.
STS2012-train	MSRpar	2.667	A floating airfield with a flight deck covering 4.5 acres, the ship took about five years to build.	The Reagan, a floating airfield with a flight deck covering 4.5 acres, is the ninth Nimitz-class carrier to be built at the Newport News shipyard.
STS2012-train	MSRpar	3.800	Im very proud of the citizens of this state, said Gov. John Baldacci, a casino foe.	"I´m very proud of the citizens of this state," Gov. John Baldacci said after votes from Tuesday´s referendum were counted.
STS2012-train	MSRpar	3.200	Stout previously worked for General Electric subsidiary GE Capital Service Inc., where he was vice president and chief technology and information officer.	Stout comes to Sprint from GE Capital, where he served as chief technology and information officer.
STS2012-train	MSRpar	2.800	Only Intel Corp.'s 0.3 percent yield was lower.	Only Intel Corp. has a lower dividend yield.
STS2012-train	MSRpar	2.200	An injured woman co-worker also was hospitalized and was listed in good condition.	A woman was listed in good condition at Memorial's HealthPark campus, he said.
STS2012-train	MSRpar	4.333	The shooting victim was taken to Kings County Hospital Center, where he later died, the police said.	The victim, who was not identified, was taken to Kings County Hospital where he was pronounced dead.
STS2012-train	MSRpar	2.000	MGM, NBC and Liberty executives were not immediately available for comment.	A Microsoft spokesman was not immediately available to comment.
STS2012-train	MSRpar	3.000	The new analysis found that 32 of the 16,608 participants developed ovarian cancer during about 5 years of follow-up.	The new analysis found that 32 of 16,608 participants developed ovarian cancer in about 5 1/2 years of follow-up, including 20 women taking hormones.
STS2012-train	MSRpar	2.333	They reported symptoms of fever, headache, rash and muscle aches.	Symptoms include a stiff neck, fever, headache and sensitivity to light.
STS2012-train	MSRpar	3.250	"We've become like total strangers," Klein quotes him as saying.	"We've become like total strangers," John told a pal two days before his death.
STS2012-train	MSRpar	2.250	Davey graduated Saturday from Northwest College, which is affiliated with the Assemblies of God, with a bachelor of arts degree in religion and philosophy.	Davey started attending Northwest College, which is affiliated with the Assemblies of God, in 1999 with plans to become a minister.
STS2012-train	MSRpar	3.500	Veteran stage and screen actor Hume Cronyn died of cancer Sunday.	Character actor Hume Cronyn, 91, died Sunday at his home in Connecticut.
STS2012-train	MSRpar	2.250	Scrimshaw, Supervisor, Best Minister and Ten Most Wanted are expected to complete the Belmont field.	Best Minister, Scrimshaw, and Ten Most Wanted all had workouts on Monday morning.
STS2012-train	MSRpar	0.750	The technology-laced Nasdaq Composite Index .IXIC fell 23.54 points, or 1.42 percent, to 1,630.08.	The broader Standard & Poor's 500 Index .SPX gave up 11.91 points, or 1.19 percent, at 986.60.
STS2012-train	MSRpar	4.000	"It was a final test before delivering the missile to the armed forces.	State radio said it was the last test before the missile was delivered to the armed forces.
STS2012-train	MSRpar	3.500	"Your withdrawal from our country is inevitable, whether it happens today or tomorrow, and tomorrow will come soon."	"Your withdrawal from our country is inevitable, whether it happens today or tomorrow," added the voice, which signed off giving the date as "mid-September."
STS2012-train	MSRpar	5.000	Deirdre Hisler, Government Canyon's manager, said the state has long had its eye on this piece of property and is eager to complete the deal to obtain it.	Deirdre Hisler, Government Canyon's manager, said the state long has coveted this piece of property, and is eager to complete the deal.
STS2012-train	MSRpar	3.750	According to a news release sent by the Terry Schindler-Schiavo Foundation, Florida Speaker Johnnie Byrd will introduce "Terri's Bill" during the special session Monday.	Florida's Speaker of the House Johnnie Byrd, is expected to introduce ''Terri's Bill'' during a one-day special session of the state legislature being held today in Tallahassee.
STS2012-train	MSRpar	3.750	Also, businesses throughout Utah are volunteering to display Amber alerts on their signs.	Other businesses are volunteering to put the alerts on their electronic signs and billboards.
STS2012-train	MSRpar	4.250	Thanks to the euro's rise against the Japanese currency, the dollar was at 117.24 yen, well above the overnight 10-month low of 116 yen.	The euro's rise against the yen and speculation of Japanese intervention helped the dollar firm to 117.25 yen , well above a 10-month low of 116 yen hit on Thursday.
STS2012-train	MSRpar	4.500	Former South African Archbishop Desmond Tutu said Sunday he did not see what "all the fuss" was over appointing a gay bishop, but urged homosexual clergy to remain celibate.	South Africa's Nobel laureate Archbishop Desmond Tutu says he does not understand all the fuss about appointing a gay bishop, but he has urged homosexual clergy to remain celibate.
STS2012-train	MSRpar	4.000	Russian stocks fell after the arrest last Saturday of Mikhail Khodorkovsky, chief executive of Yukos Oil, on charges of fraud and tax evasion.	The weekend arrest of Russia's richest man, Mikhail Khodorkovsky, chief executive of oil major YUKOS, on charges of fraud and tax evasion unnerved financial markets.
STS2012-train	MSRpar	3.250	Reuters witnesses said many houses had been flattened and the city squares were packed with crying children and the homeless, huddled in blankets to protect them from the cold.	Reuters witnesses said public squares were packed with crying children and people left homeless, huddled in blankets to protect them from the cold.
STS2012-train	MSRpar	0.750	For the year, it expects sales of $94 million and a profit of 26 cents a share from continuing operations.	This is an increase from the $22.5 million and 5 cents a share previously forecast.
STS2012-train	MSRpar	2.750	In September, Hewlett-Packard signed a development and marketing deal with the company.	Four months later it signed a joint marketing agreement with Hewlett-Packard Co.
STS2012-train	MSRpar	4.000	Consumers would still have to get a descrambling security card from their cable operator to plug into the set.	To watch pay television, consumers would insert into the set a security card provided by their cable service.
STS2012-train	MSRpar	3.400	On Friday, the Concorde started up around sunrise and seemed to launch itself straight out of the rising sun.	Yesterday, the Concorde seemed to launch itself straight out of the rising sun.
STS2012-train	MSRpar	2.200	A Stage 1 episode is declared when ozone levels reach 0.20 parts per million.	The federal standard for ozone is 0.12 parts per million.
STS2012-train	MSRpar	3.400	After Hughes refused to rehire Hernandez, he complained to the Equal Employment Opportunity Commission.	Hernandez filed an Equal Employment Opportunity Commission complaint and sued.
STS2012-train	MSRpar	3.400	The three grocery chains were relying on store managers and replacement workers to keep their stores open.	The supermarket chains have used managers and replacement workers to keep their stores open, often at reduced hours.
STS2012-train	MSRpar	2.600	Dewhurst's proposal calls for an abrupt end to the controversial "Robin Hood" plan for school finance.	The committee would propose a replacement for the "Robin Hood" school finance system.
STS2012-train	MSRpar	3.400	Other countries and private creditors are owed at least $80 billion in addition.	Other countries are owed at least $US80 billion ($108.52 billion).
STS2012-train	MSRpar	3.600	Telemarketers who call numbers on the list after Oct. 1 could face fines of up to $11,000 per call.	Under the law, telemarketers who call numbers on the list can be fined up to $11,000 for each violation.
STS2012-train	MSRpar	3.250	While waiting for a bomb squad to arrive, the bomb exploded, killing Wells.	The bomb exploded while authorities waited for a bomb squad to arrive.
STS2012-train	MSRpar	5.000	He explained that he found Antetonitrus when he came to Wits in 2001 as a post-doctoral research assistant at England's University of Bristol.	He explained that he found antetonitrus when he came to Wits in 2001 while a post-doctoral research assistant at Bristol University in Britain.
STS2012-train	MSRpar	4.250	Air Canada, the largest airline in Canada and No. 11 in the world, has been under court protection from creditors since April 1.	The No. 11 airline in the world, Air Canada has been under court protection from creditors since April 1.
STS2012-train	MSRpar	3.400	The security official's backup couldn't fill in because he was on active military duty, Strutt said.	The security official's backup was on active duty, and the lottery association didn't have a replacement in New Jersey, Strutt said.
STS2012-train	MSRpar	4.250	The jury also found Gonzales guilty of using excessive force by dousing Olvera-Carrera with pepper spray.	Gonzales was found guilty of using excessive force by spraying Olvera with pepper spray.
STS2012-train	MSRpar	3.250	The bodies of some of the dead, pulled out from under the train, were laid out beside the tracks while emergency services brought in wooden coffins.	The bodies of many of the dead, pulled from under the partially derailed train, were laid out by the tracks awaiting identification.
STS2012-train	MSRpar	4.250	Garner said the self-proclaimed mayor of Baghdad, Mohammed Mohsen al-Zubaidi, was released after two days in coalition custody.	Garner said self-proclaimed Baghdad mayor Mohammed Mohsen Zubaidi was released 48 hours after his detention in late April.
STS2012-train	MSRpar	3.750	"Enron company executives engaged in widespread and pervasive fraud," prosecutor Samuel Buell told the Associated Press.	"Enron company executives engaged in widespread and pervasive fraud to manipulate the company's earnings results," Buell said.
STS2012-train	MSRpar	3.667	"It seems to me ... we're just dealing with bragging rights here, who wins and who loses," said Gammerman, who heard the case without a jury.	"Leaving aside attorney fees, we're dealing with bragging rights of who wins and who loses," said Gammerman.
STS2012-train	MSRpar	4.333	Customers that pay the $1,219 entrance fee get SMS 2003 with 10 device client access licenses.	Retail pricing for SMS 2003 with 10 device client access licenses is $1,219.
STS2012-train	MSRpar	3.909	Results of the 2001 Aboriginal Peoples Survey released yesterday by Statistics Canada suggest living standards have improved but still lag for those off reserves.	The 2001 Aboriginal Peoples Survey released Wednesday by Statistics Canada says living standards have improved but still lag for the Inuit and those who leave their often impoverished reserves.
STS2012-train	MSRpar	3.933	"The recent turnaround in the stock market and an easing in unemployment claims should keep consumer expectations at current levels and may signal more favorable economic times ahead."	The recent turnaround in the stock market and an easing in unemployment claims "may signal more favorable economic times ahead," she said.
STS2012-train	MSRpar	3.750	While the day's trading was lackluster, the Standard & Poor's 500 index was preparing to close out its best three-month period since the fourth quarter of 1998.	The Standard & Poor's 500 stock index ended the quarter up 120 points, a gain of 14 percent, the best performance for that broad market benchmark since 1998.
STS2012-train	MSRpar	3.750	Researchers found the fossils in a semidesert area of Venezuela, about 250 miles west of Caracas.	Phoberomys' skeleton was unearthed 250 miles west of Caracas, Venezuela.
STS2012-train	MSRpar	4.250	ONA explicitly stated that it did not receive intelligence material indicating that Jemaah Islamiyah terrorist network was planning to mount an operation in Bali.	"But at no stage did ONA receive intelligence material indicating that Jemaah Islamiyah was planning to mount an operation in Bali."
STS2012-train	MSRpar	4.250	Those reports were denied by the interior minister, Prince Nayef.	However, the Saudi interior minister, Prince Nayef, denied the reports.
STS2012-train	MSRpar	3.500	Bryant previously said that hike had a greater impact on demand than officials expected.	Chief financial officer Andy Bryant has said that hike had a greater affect volume than officials expected.
STS2012-train	MSRpar	4.750	The American women, who are defending champions, will play in Philadelphia on Sept. 25 and conclude group competition in Columbus on Sept. 28.	The U.S. women, who are defending champions, will play on Sept. 25 in Philadelphia and conclude group competition on Sept. 28 in Columbus, Ohio.
STS2012-train	MSRpar	3.250	Judge Leroy Millette Jr. can reduce the punishment to life in prison without parole when Muhammad is formally sentenced Feb. 12, but Virginia judges rarely take such action.	Though the judge can reduce the punishment to life in prison without parole, experts say Virginia judges rarely take that opportunity.
STS2012-train	MSRpar	2.750	Mr McDonnell is leading Grant Thornton International's inquiry into the Italian business.	Mr McDonnell wants to establish if the Italian business followed Grant Thornton's audit procedures.
STS2012-train	MSRpar	3.000	A spokeswoman at Strong Memorial Hospital said Doud was in satisfactory condition Tuesday night.	A spokesman at Strong Memorial Hospital said Doud was under evaluation Tuesday evening in the emergency room.
STS2012-train	MSRpar	3.800	Ray Brent Marsh, 29, faces multiple counts of burial service fraud, making false statements, abuse of a dead body and theft.	Ray Brent Marsh, 29, also faces charges of abuse of a body, and theft.
STS2012-train	MSRpar	3.400	After that, college President Paul Pribbenow told him to wrap up his speech.	After Hedges' microphone was unplugged for a second time, Pribbenow told him to wrap up his speech.
STS2012-train	MSRpar	3.857	For the 12-month period ending June 30, high-speed lines installed in homes and businesses increased by 45 percent.	For the full year period ending June 30, 2003, high-speed lines increased by 45 percent.
STS2012-train	MSRpar	4.000	Ricky Clemons' brief, troubled Missouri basketball career is over.	Missouri kicked Ricky Clemons off its team, ending his troubled career there.
STS2012-train	MSRpar	3.400	US military officials say rotor wash from the helicopter might have blown down the banner.	US officials said downward "rotor wash" generated by the hovering helicopter stripped the flag from the tower.
STS2012-train	MSRpar	3.200	The industry's largest association is urging its members not call the more than 50 million home and cellular numbers on the list.	Meantime, the Direct Marketing Association said its members should not call the nearly 51 million numbers on the list.
STS2012-train	MSRpar	3.000	The settlement taking effect this week was reached less than two months after O'Malley took the helm of the nation's fourth-largest archdiocese.	The $85 million agreement was reached in September, less than two months after Archbishop Sean O'Malley took over as leader of the nation's fourth-largest diocese.
STS2012-train	MSRpar	3.200	The U.S. Capitol was evacuated yesterday after authorities detected a possibly hazardous material in the basement of the Senate wing, Capitol Police said.	U.S. Capitol Police evacuated the Capitol yesterday after a sensor detected a possible biohazard in the Senate wing, but authorities later said it was a false alarm.
STS2012-train	MSRpar	3.600	The former president also gave numerous speeches in 2002 without compensation, said his spokesman Jim Kennedy.	His spokesman Jim Kennedy said the former president also gave more than 70 speeches in 2002 without compensation.
STS2012-train	MSRpar	1.600	The broader Standard & Poor's 500 Index .SPX was down 0.04 points, or 0 percent, at 971.52.	Standard & Poor's 500 stock index futures for June were down 2.60 points at 965.70, while Nasdaq futures were down 7.50 points at 1,183.50.
STS2012-train	MSRpar	3.800	Dubbed Project Mad Hatter, the Linux-based desktop is being promoted by Sun as a more secure and less expensive alternative to Windows.	Designed to compete with Microsoft Corp., Project Mad Hatter is being positioned by Sun as a cheaper, secure alternative desktop operating system to Microsoft's various desktop offerings.
STS2012-train	MSRpar	2.600	The workers accuse General Dynamics of "reverse age discrimination" because of a change in retirement benefits in 1997.	General Dynamics was sued when it changed its retirement benefits in 1997.
STS2012-train	MSRpar	1.600	The tech-laced Nasdaq Composite Index .IXIC eased 5.16 points, or 0.32 percent, at 1,590.75, breaking a six-day string of gains.	The tech-heavy Nasdaq Composite Index .IXIC was off 0.11 percent, or 1.78 points, at 1,594.13.
STS2012-train	MSRpar	2.000	A key figure in former state Treasurer Paul Silvester's bribery scheme was accused Wednesday of changing his story about Silvester's alleged corrupt dealings with a Boston investment firm.	A key player in former state Treasurer Paul Silvester's corruption scheme testified on Tuesday about kickbacks and bribes Silvester traded for state business.
STS2012-train	MSRpar	3.600	"The mission of the CAPPS II system has been and always will be aviation security," said the administration, part of the Homeland Security Department.	"The mission of the CAPPS II system has been and always will be aviation security," they said.
STS2012-train	MSRpar	4.500	Hovan did not speak, but his lawyer, John Speranza, said his client "did not wake up that day" intending to hurt anyone.	Hovan "did not wake up that day" intending to hurt anyone, defense attorney John Speranza said.
STS2012-train	MSRpar	4.000	"We believe that it is not necessary to have a divisive confirmation fight over a Supreme Court appointment," Daschle wrote.	"We believe that it is not necessary to have a divisive confirmation fight," Daschle of South Dakota wrote the Republican president.
STS2012-train	MSRpar	3.000	Yahoo accounts for 159,354 of the BSD sites, with 152,054 from NTT/Verio and 129,378 from Infospace, the survey found.	Another 152,054 are from IP services company NTT/Verio, and 129,378 from InfoSpace, the survey found.
STS2012-train	MSRpar	2.500	The Space Infrared Telescope Facility's mission is to search for the beginnings of the universe.	NASA is scheduled to launch the Space Infrared Telescope Facility on Monday morning.
STS2012-train	MSRpar	3.500	Its maker, MedImmune Inc., based in Gaithersburg, made 4 million to 5 million doses this year.	MedImmune Vaccines, the maker of FluMist, made between 4 million and 5 million doses this year.
STS2012-train	MSRpar	3.000	Kaichen appeared Wednesday in federal court on two bank robbery charges.	She appeared in federal court Wednesday, but did not enter a plea.
STS2012-train	MSRpar	3.769	In the latest top-level shuffle at CNN, Teya Ryan is leaving her post as general manager of U.S. programming, the network announced.	In CNN's latest move to rejuvenate ratings, the network has ousted Teya Ryan, general manager of U.S. programming.
STS2012-train	MSRpar	3.400	He is suspected of being a key figure in Jemaah Islamiyah, the al-Qa'eda-linked terror group which has been blamed for the bombings.	Samudra, 32, is suspected of being a key figure in the al-Qaida-linked terror group Jemaah Islamiyah, which has been blamed for carrying out the bombings.
STS2012-train	MSRpar	1.800	About 100 firefighters are in the bosque today, Albuquerque Fire Chief Robert Ortega said.	"We were seconds away from having that happen," Albuquerque Fire Chief Robert Ortega said.
STS2012-train	MSRpar	3.000	"The issue has been resolved," Marlins President David Samson said through a club spokesman.	The Marlins only said: "The issue has been resolved."
STS2012-train	MSRpar	3.000	China's Health Ministry said five more people had died of Sars and a further 159 were infected.	On Monday, China said nine more people had died from SARS and that 160 more were infected with the virus.
STS2012-train	MSRpar	3.400	The respected medical journal Lancet has called for a complete ban on tobacco in the United Kingdom.	A leading U.K. medical journal called Friday for a complete ban on tobacco, prompting outrage from smokers' groups.
STS2012-train	MSRpar	4.250	Shares of McDonald's rose $1.83, or 8.3 percent, to close at the day's high of $23.89.	McDonald's shares rose $1.83 to close Friday at $23.89 on the New York Stock Exchange.
STS2012-train	MSRpar	3.250	An incremental step reported by researchers at the University of California, San Francisco, is the latest in a decade-long effort.	The incremental step, reported by researchers at UC San Francisco, is the latest in a decade-long effort to infect mice with the virus.
STS2012-train	MSRpar	4.000	He said the FDA was hoping Congress and the courts would bring clarity to the situation and some financial relief to consumers.	He said FDA hopes Congress and the courts will bring clarity to the situation and some financial relief to consumers — perhaps before the 2004 elections.
STS2012-train	MSRpar	4.000	Ernst & Young admitted no wrongdoing with the settlement.	Ernst & Young spokesman Kenneth Kerrigan said the firm admits no wrongdoing.
STS2012-train	MSRpar	4.000	The driver of the truck escaped and is now being sought by the police, Supoyo said.	But police say the driver of the truck has not been found and is wanted for questioning.
STS2012-train	MSRpar	3.625	The witness, a 27-year-old Kosovan parking attendant with criminal convictions for dishonesty, was paid 10,000 by the News of the World.	The witness was a 27-year-old Kosovan parking attendant, who was paid by the News of the World, the court heard.
STS2012-train	MSRpar	4.250	"In so many different ways, the artistry of black musicians has conveyed the experience of black Americans throughout our history," Bush said.	Surrounded by singers from Harlem, Bush said: ''The artistry of black musicians has conveyed the experience of black Americans throughout our history.
STS2012-train	MSRpar	3.500	The differences between Grassley and Thomas on energy and Medicare have become so pointed that other members say their angry personal relationship is embarrassing the party.	Their differences on energy and Medicare have become so pointed other members say it is embarrassing to the party.
STS2012-train	MSRpar	4.000	Geraldine Andrews, the pastor's daughter-in-law, said Robinson recently took her daughter out of a mental health facility.	Geraldine Andrews, Reynolds' daughter-in-law and a friend of Wilson's family, said Robinson had recently taken Wilson out of a mental health facility.
STS2012-train	MSRpar	3.200	He wounded a security guard and then fled, stabbing two passersby as he ran off along the promenade.	He then stabbed two passersby as he fled along a promenade by the Mediterranean Sea.
